PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;128529977749;eu-north-1;2026-09-01 14:00:52.311778;Account.1;This control checks if an Amazon Web Services (AWS) account has security contact information. The control fails if security contact information is not provided for the account.;Account;;;Account;;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Alternate Contacts -> Security Section.;arn:aws:iam::128529977749:root;account_security_contact_information_is_registered;False;128529977749;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;128529977749;eu-north-1;2026-09-01 14:00:52.311778;AutoScaling.2;This control checks whether an Auto Scaling group spans multiple Availability Zones. The control fails if an Auto Scaling group does not span multiple availability zones.;AutoScaling;;;AutoScaling;;PASS;Autoscaling group ce-capstone-asg has multiple availability zones.;arn:aws:autoscaling:eu-north-1:128529977749:autoScalingGroup:22ea5a9e-006d-4bbd-9d1a-adfce2a74d62:autoScalingGroupName/ce-capstone-asg;autoscaling_group_multiple_az;False;ce-capstone-asg;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;128529977749;eu-north-1;2026-09-01 14:00:52.311778;CloudTrail.1;This control checks that there is at least one multi-Region CloudTrail trail.;CloudTrail;;;CloudTrail;;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:eu-north-1:128529977749:trail;cloudtrail_multi_region_enabled;False;128529977749;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;128529977749;eu-north-1;2026-09-01 14:00:52.311778;Config.1;This control checks whether AWS Config is enabled in the account for the local Region and is recording all resources. The AWS Config service performs configuration management of supported AWS resources in your account and delivers log files to you. The recorded information includes the configuration item (AWS resource), relationships between configuration items, and any configuration changes between resources.;Config;;;Config;;PASS;AWS Config recorder ce-capstone is enabled.;arn:aws:config:eu-north-1:128529977749:recorder;config_recorder_all_regions_enabled;False;ce-capstone;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;128529977749;eu-north-1;2026-09-01 14:00:52.311778;DynamoDB.6;This control checks whether an Amazon DynamoDB table has deletion protection enabled. The control fails if a DynamoDB table doesn't have deletion protection enabled.;DynamoDB;;;DynamoDB;;FAIL;DynamoDB table ce-capstone-tflock does not have deletion protection enabled.;arn:aws:dynamodb:eu-north-1:128529977749:table/ce-capstone-tflock;dynamodb_table_deletion_protection_enabled;False;ce-capstone-tflock;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;128529977749;eu-north-1;2026-09-01 14:00:52.311778;DynamoDB.7;This control checks whether an Amazon DynamoDB Accelerator (DAX) cluster is encrypted in transit, with the endpoint encryption type set to TLS. The control fails if the DAX cluster isn't encrypted in transit.;DynamoDB;;;DynamoDB;;FAIL;DynamoDB table ce-capstone-tflock does not have deletion protection enabled.;arn:aws:dynamodb:eu-north-1:128529977749:table/ce-capstone-tflock;dynamodb_table_deletion_protection_enabled;False;ce-capstone-tflock;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;128529977749;eu-north-1;2026-09-01 14:00:52.311778;DynamoDB.6;This control checks whether an Amazon DynamoDB table has deletion protection enabled. The control fails if a DynamoDB table doesn't have deletion protection enabled.;DynamoDB;;;DynamoDB;;FAIL;DynamoDB table cicd-best-practices-app-state does not have deletion protection enabled.;arn:aws:dynamodb:eu-north-1:128529977749:table/cicd-best-practices-app-state;dynamodb_table_deletion_protection_enabled;False;cicd-best-practices-app-state;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;128529977749;eu-north-1;2026-09-01 14:00:52.311778;DynamoDB.7;This control checks whether an Amazon DynamoDB Accelerator (DAX) cluster is encrypted in transit, with the endpoint encryption type set to TLS. The control fails if the DAX cluster isn't encrypted in transit.;DynamoDB;;;DynamoDB;;FAIL;DynamoDB table cicd-best-practices-app-state does not have deletion protection enabled.;arn:aws:dynamodb:eu-north-1:128529977749:table/cicd-best-practices-app-state;dynamodb_table_deletion_protection_enabled;False;cicd-best-practices-app-state;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;128529977749;eu-north-1;2026-09-01 14:00:52.311778;DynamoDB.6;This control checks whether an Amazon DynamoDB table has deletion protection enabled. The control fails if a DynamoDB table doesn't have deletion protection enabled.;DynamoDB;;;DynamoDB;;FAIL;DynamoDB table terraform-state-locks does not have deletion protection enabled.;arn:aws:dynamodb:eu-north-1:128529977749:table/terraform-state-locks;dynamodb_table_deletion_protection_enabled;False;terraform-state-locks;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;128529977749;eu-north-1;2026-09-01 14:00:52.311778;DynamoDB.7;This control checks whether an Amazon DynamoDB Accelerator (DAX) cluster is encrypted in transit, with the endpoint encryption type set to TLS. The control fails if the DAX cluster isn't encrypted in transit.;DynamoDB;;;DynamoDB;;FAIL;DynamoDB table terraform-state-locks does not have deletion protection enabled.;arn:aws:dynamodb:eu-north-1:128529977749:table/terraform-state-locks;dynamodb_table_deletion_protection_enabled;False;terraform-state-locks;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;128529977749;eu-north-1;2026-09-01 14:00:52.311778;DynamoDB.4;This control evaluates whether an Amazon DynamoDB table in ACTIVE state is covered by a backup plan. The control fails if the DynamoDB table isn't covered by a backup plan. If you set the backupVaultLockCheck parameter equal to true, the control passes only if the DynamoDB table is backed up in an AWS Backup locked vault.;DynamoDB;;;DynamoDB;;FAIL;DynamoDB table ce-capstone-tflock is not protected by a backup plan.;arn:aws:dynamodb:eu-north-1:128529977749:table/ce-capstone-tflock;dynamodb_table_protected_by_backup_plan;False;ce-capstone-tflock;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;128529977749;eu-north-1;2026-09-01 14:00:52.311778;DynamoDB.4;This control evaluates whether an Amazon DynamoDB table in ACTIVE state is covered by a backup plan. The control fails if the DynamoDB table isn't covered by a backup plan. If you set the backupVaultLockCheck parameter equal to true, the control passes only if the DynamoDB table is backed up in an AWS Backup locked vault.;DynamoDB;;;DynamoDB;;FAIL;DynamoDB table cicd-best-practices-app-state is not protected by a backup plan.;arn:aws:dynamodb:eu-north-1:128529977749:table/cicd-best-practices-app-state;dynamodb_table_protected_by_backup_plan;False;cicd-best-practices-app-state;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;128529977749;eu-north-1;2026-09-01 14:00:52.311778;DynamoDB.4;This control evaluates whether an Amazon DynamoDB table in ACTIVE state is covered by a backup plan. The control fails if the DynamoDB table isn't covered by a backup plan. If you set the backupVaultLockCheck parameter equal to true, the control passes only if the DynamoDB table is backed up in an AWS Backup locked vault.;DynamoDB;;;DynamoDB;;FAIL;DynamoDB table terraform-state-locks is not protected by a backup plan.;arn:aws:dynamodb:eu-north-1:128529977749:table/terraform-state-locks;dynamodb_table_protected_by_backup_plan;False;terraform-state-locks;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;128529977749;eu-north-1;2026-09-01 14:00:52.311778;DynamoDB.2;This control checks whether point-in-time recovery (PITR) is enabled for an Amazon DynamoDB table. Backups help you to recover more quickly from a security incident. They also strengthen the resilience of your systems. DynamoDB point-in-time recovery automates backups for DynamoDB tables. It reduces the time to recover from accidental delete or write operations. DynamoDB tables that have PITR enabled can be restored to any point in time in the last 35 days.;DynamoDB;;;DynamoDB;;FAIL;DynamoDB table ce-capstone-tflock does not have point-in-time recovery enabled.;arn:aws:dynamodb:eu-north-1:128529977749:table/ce-capstone-tflock;dynamodb_tables_pitr_enabled;False;ce-capstone-tflock;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;128529977749;eu-north-1;2026-09-01 14:00:52.311778;DynamoDB.2;This control checks whether point-in-time recovery (PITR) is enabled for an Amazon DynamoDB table. Backups help you to recover more quickly from a security incident. They also strengthen the resilience of your systems. DynamoDB point-in-time recovery automates backups for DynamoDB tables. It reduces the time to recover from accidental delete or write operations. DynamoDB tables that have PITR enabled can be restored to any point in time in the last 35 days.;DynamoDB;;;DynamoDB;;PASS;DynamoDB table cicd-best-practices-app-state has point-in-time recovery enabled.;arn:aws:dynamodb:eu-north-1:128529977749:table/cicd-best-practices-app-state;dynamodb_tables_pitr_enabled;False;cicd-best-practices-app-state;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
